;Index;Tema;Pregunta;Lugar;Lema;Respuesta;Respuesta(Fon);Provincia;Dialectos;PalabraBase
170480;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ahetze;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170481;1027;Izen morfologia: izen arrunten deklinabide;a + a;Aia;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170482;1027;Izen morfologia: izen arrunten deklinabide;a + a;Aia;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170483;1027;Izen morfologia: izen arrunten deklinabide;a + a;Aldude;alába;alába;;NafarroaBehera;Nafar-Lapurtarra;hija
170484;1027;Izen morfologia: izen arrunten deklinabide;a + a;Alkotz;alába;alába;;Nafarroa;Nafarra;hija
170485;1027;Izen morfologia: izen arrunten deklinabide;a + a;Altzai;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170486;1027;Izen morfologia: izen arrunten deklinabide;a + a;Altzürükü;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170487;1027;Izen morfologia: izen arrunten deklinabide;a + a;Amezketa;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170488;1027;Izen morfologia: izen arrunten deklinabide;a + a;Andoain;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170489;1027;Izen morfologia: izen arrunten deklinabide;a + a;Aniz;alabá;alabá;;Nafarroa;Nafarra;hija
170490;1027;Izen morfologia: izen arrunten deklinabide;a + a;Aramaio;alábie;alábie;;Araba;Mendebaldekoa;hija
170491;1027;Izen morfologia: izen arrunten deklinabide;a + a;Aramaio;alábje;alábie;;Araba;Mendebaldekoa;hija
170492;1027;Izen morfologia: izen arrunten deklinabide;a + a;Araotz (Oñati);alábia;alábia;;Gipuzkoa;Mendebaldekoa;hija
170493;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arbizu;álaba;álaba;;Nafarroa;Nafarra;hija
170495;1027;Izen morfologia: izen arrunten deklinabide;a + a;Armendaritze;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170496;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arnegi;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170497;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arrangoitze;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170498;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arrasate;alabíe;alabíe;;Gipuzkoa;Mendebaldekoa;hija
170499;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arrazola (Atxondo);alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170500;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arrazola (Atxondo);alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170501;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arrieta;alabie;alabie;;Bizkaia;Mendebaldekoa;hija
170503;1027;Izen morfologia: izen arrunten deklinabide;a + a;Arrueta;álabá;álabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170504;1027;Izen morfologia: izen arrunten deklinabide;a + a;Asteasu;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170505;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ataun;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170506;1027;Izen morfologia: izen arrunten deklinabide;a + a;Azkaine;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170507;1027;Izen morfologia: izen arrunten deklinabide;a + a;Azkoitia;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170508;1027;Izen morfologia: izen arrunten deklinabide;a + a;Azpeitia;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170509;1027;Izen morfologia: izen arrunten deklinabide;a + a;Baigorri;alába;alába;;NafarroaBehera;Nafar-Lapurtarra;hija
170510;1027;Izen morfologia: izen arrunten deklinabide;a + a;Bakio;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170511;1027;Izen morfologia: izen arrunten deklinabide;a + a;Bardoze;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170512;1027;Izen morfologia: izen arrunten deklinabide;a + a;Barkoxe;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170513;1027;Izen morfologia: izen arrunten deklinabide;a + a;Bastida;alhabá;alhabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170514;1027;Izen morfologia: izen arrunten deklinabide;a + a;Beasain;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170515;1027;Izen morfologia: izen arrunten deklinabide;a + a;Behorlegi;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170516;1027;Izen morfologia: izen arrunten deklinabide;a + a;Beizama;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170517;1027;Izen morfologia: izen arrunten deklinabide;a + a;Bergara;alába;alába;;Gipuzkoa;Mendebaldekoa;hija
170518;1027;Izen morfologia: izen arrunten deklinabide;a + a;Bermeo;alába;alába;;Bizkaia;Mendebaldekoa;hija
170519;1027;Izen morfologia: izen arrunten deklinabide;a + a;Berriz;alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170520;1027;Izen morfologia: izen arrunten deklinabide;a + a;Berriz;alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170521;1027;Izen morfologia: izen arrunten deklinabide;a + a;Beruete;álaba;álaba;;Nafarroa;Nafarra;hija
170522;1027;Izen morfologia: izen arrunten deklinabide;a + a;Beskoitze;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170523;1027;Izen morfologia: izen arrunten deklinabide;a + a;Bidarrai;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170527;1027;Izen morfologia: izen arrunten deklinabide;a + a;Busturia;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170528;1027;Izen morfologia: izen arrunten deklinabide;a + a;Deba;alabá;alabá;;Gipuzkoa;Mendebaldekoa;hija
170529;1027;Izen morfologia: izen arrunten deklinabide;a + a;Dima;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170530;1027;Izen morfologia: izen arrunten deklinabide;a + a;Domintxaine;alabá;alabá;;Zuberoa;Zuberotarra;hija
170531;1027;Izen morfologia: izen arrunten deklinabide;a + a;Donamaria;alába;alába;;Nafarroa;Nafarra;hija
170532;1027;Izen morfologia: izen arrunten deklinabide;a + a;Donibane Lohizune;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170534;1027;Izen morfologia: izen arrunten deklinabide;a + a;Dorrao / Torrano;álabá;álabá;;Nafarroa;Nafarra;hija
170535;1027;Izen morfologia: izen arrunten deklinabide;a + a;Dorrao / Torrano;álabá;álabá;;Nafarroa;Nafarra;hija
170538;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elantxobe;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
