;Index;Tema;Pregunta;Lugar;Lema;Respuesta;Respuesta(Fon);Provincia;Dialectos;PalabraBase
170480;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ahetze;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170481;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aia;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170482;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aia;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170483;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aldude;alába;alába;;NafarroaBehera;Nafar-Lapurtarra;hija
170484;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Alkotz;alába;alába;;Nafarroa;Nafarra;hija
170485;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Altzai;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170486;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Altzürükü;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170487;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Amezketa;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170488;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Andoain;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170489;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aniz;alabá;alabá;;Nafarroa;Nafarra;hija
170490;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aramaio;alábie;alábie;;Araba;Mendebaldekoa;hija
170491;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aramaio;alábje;alábie;;Araba;Mendebaldekoa;hija
170492;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Araotz (Oñati);alábia;alábia;;Gipuzkoa;Mendebaldekoa;hija
170493;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arbizu;álaba;álaba;;Nafarroa;Nafarra;hija
170495;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Armendaritze;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170496;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arnegi;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170497;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrangoitze;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170498;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrasate;alabíe;alabíe;;Gipuzkoa;Mendebaldekoa;hija
170499;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrazola (Atxondo);alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170500;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrazola (Atxondo);alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170501;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrieta;alabie;alabie;;Bizkaia;Mendebaldekoa;hija
170503;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrueta;álabá;álabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170504;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Asteasu;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170505;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ataun;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170506;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azkaine;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170507;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azkoitia;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170508;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azpeitia;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170509;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Baigorri;alába;alába;;NafarroaBehera;Nafar-Lapurtarra;hija
170510;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bakio;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170511;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bardoze;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170512;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Barkoxe;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170513;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bastida;alhabá;alhabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170514;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Beasain;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170515;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Behorlegi;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170516;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Beizama;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170517;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bergara;alába;alába;;Gipuzkoa;Mendebaldekoa;hija
170518;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bermeo;alába;alába;;Bizkaia;Mendebaldekoa;hija
170519;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Berriz;alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170520;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Berriz;alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170521;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Beruete;álaba;álaba;;Nafarroa;Nafarra;hija
170522;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Beskoitze;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170523;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bidarrai;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
