Frase;Dialecto;Lugar;Verbo
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Ahetze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Aia;True
urazan baresitsa bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Aia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Aldude;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Alkotz;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Altzai;True
urazan barhe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Altzai;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Altzai;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Altzürükü;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Amezketa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Andoain;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Aniz;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Aramaio;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri en;Mendebaldekoa;Araotz (Oñati);True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuben;Nafarra;Arbizu;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri ziin;Nafar-Lapurtarra;Armendaritze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri ziin;Nafar-Lapurtarra;Armendaritze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Arnegi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Arrangoitze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eun;Mendebaldekoa;Arrasate;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Arrazola (Atxondo);True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Arrieta;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zian;Nafar-Lapurtarra;Arrueta;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Asteasu;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Ataun;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Ataun;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Azkaine;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Azkoitia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Azpeitia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri ziin;Nafar-Lapurtarra;Baigorri;True
urazan barakil bat aurkitu zuelako nazka-aurpegia jarri seuen;Mendebaldekoa;Bakio;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri seuen;Mendebaldekoa;Bakio;True
urazan baretxa bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Bardoze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Bardoze;True
urazan barhanka bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Barkoxe;True
urazan limaza bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Bastida;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Beasain;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Behorlegi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Beizama;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zeban;Mendebaldekoa;Bergara;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri sauen;Mendebaldekoa;Bermeo;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Berriz;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Beruete;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri ziin;Nafar-Lapurtarra;Beskoitze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri ziin;Nafar-Lapurtarra;Bidarrai;True
